Source,Month of Year,Device Category,Ad Content,Sessions,Users,New Users,Pageviews,Session Duration,Calculated AToS
MediaIQ,202104,,MiQSDPCrossixSegment.NU1624UnbrandedSymp.320,1,1,1,1,0,0
Medicx,202104,,SDPCustomCaregiver.NU1624UnbrandedSymp.320,136,130,131,146,4396,0.05087963
Medicx,202104,,SDPCustomPatient.NU1624UnbrandedSymp.320,97,93,93,102,1051,0.012164352
Medicx,202104,,SDPCustomPatient.NU1559Branded.300,76,75,75,376,3558,0.041180556
Medicx,202104,,SDPCustomCaregiver.NU1559Branded.300,64,64,64,295,2771,0.032071759
Medicx,202104,,SDPCustomCaregiver.NU1559Branded.728,36,35,35,195,1728,0.02
Medicx,202104,,SDPCustomCaregiver.NU1624UnbrandedSymp.300,32,30,30,35,312,0.003611111
Medicx,202104,,SDPCustomPatient.NU1559Branded.160,23,23,23,210,1596,0.018472222
Medicx,202104,,SDPCustomPatient.NU1624UnbrandedSymp.300,22,21,21,29,373,0.00431713
Medicx,202104,,SDPCustomCaregiver.NU1623Unbranded50.300,21,21,21,23,462,0.005347222
Medicx,202104,,SDPCustomPatient.NU1559Branded.728,19,19,19,190,985,0.011400463
Medicx,202104,,SDPCustomCaregiver.NU1559Branded.160,18,18,18,139,976,0.011296296
Medicx,202104,,SDPCustomPatient.NU1623Unbranded50.300,17,16,16,17,0,0
Medicx,202104,,SDPCustomCaregiver.NU1624UnbrandedSymp.728,14,14,14,14,0,0
Medicx,202104,,SDPCustomPatient.NU1624UnbrandedSymp.728,12,12,12,12,0,0
Medicx,202104,,SDPCustomCaregiver.NU1623Unbranded50.728,11,10,10,13,11,0.000127315
Medicx,202104,,SDPCustomCaregiver.NU1623Unbranded50.160,8,8,8,8,0,0
Medicx,202104,,SDPCustomPatient.NU1623Unbranded50.728,7,7,7,7,0,0
Medicx,202104,,SDPCustomCaregiver.NU1624UnbrandedSymp.160,6,6,6,7,0,0
Medicx,202104,,SDPCustomPatient.NU1623Unbranded50.160,5,5,5,6,27,0.0003125
Medicx,202104,,SDPCustomPatient.NU1624UnbrandedSymp.160,5,5,5,5,0,0
Medicx,202104,,MedicxSDPCustomCaregiver.NU1624UnbrandedSymp.320,1,1,1,1,0,0
MiQ,202104,,MiQCrossixTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.728,17,7,5,18,260,0.003009259
MiQ,202104,,MiQCrossixTargeting.SD_1623_v3_50.728,4,2,0,4,0,0
MiQ,202104,,MiQPredictTargeting.Dermicool_SDP_DTP_Unbranded_50Messaging.728,3,3,3,3,0,0
MiQ,202104,,MiQCrossixTargeting.Dermicool_SDP_DTP_Unbranded_50Messaging.728,2,2,1,2,0,0
MiQ,202104,,MiQCrossixTargeting.SD_1624_v3_Symptom.728,1,1,0,1,0,0
MiQ,202104,,MiQPredictTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.728,1,1,1,1,0,0
ParkinsonsNewsToday,202104,,ROS.NU1623Unbranded50.300,55,45,40,76,2946,0.034097222
ParkinsonsNewsToday,202104,,ROS.NU1559Branded.300,51,48,45,70,2084,0.02412037
ParkinsonsNewsToday,202104,,ROS.NU1624UnbrandedSymp.300,37,36,32,47,801,0.009270833
ParkinsonsNewsToday,202104,,ROS.NU1623Unbranded50.728,13,13,13,17,1503,0.017395833
ParkinsonsNewsToday,202104,,ROS.NU1624UnbrandedSymp.728,13,13,10,15,1640,0.018981481
ParkinsonsNewsToday,202104,,ROS.NU1559Branded.728,11,10,10,11,411,0.004756944
ParkinsonsNewsToday,202104,,PNT_ROS_Display.Dermicool_SDP_DTP_TalkToYourDoctor.300,2,2,1,2,59,0.00068287
ParkinsonsNewsToday,202104,,PNT_ROS_Display.SD_1624_v3_Symptom.300,1,1,1,1,418,0.004837963
ParkinsonsNewsToday,202104,,PNT_ROS_Display.Dermicool_SDP_DTP_Unbranded_50Messaging.300,1,1,1,1,0,0
PulsePoint,202104,,PulsePointConditionPopulation.SD_1624_v3_Symptom.728,1,1,1,1,0,0
PulsePoint,202104,,PulsePointConditionPopulation.Dermicool_SDP_DTP_TalkToYourDoctor.300,1,1,1,1,0,0
PulsePoint,202104,,PulsePointConditionPopulation.Dermicool_SDP_DTP_TalkToYourDoctor.728,1,1,0,1,0,0
RemedyHealth,202104,,SDSDisplayMedia.NU1559Branded.300,3,3,2,3,0,0
RemedyHealth,202104,,SDSDisplayMedia.NU1559Branded.728,1,1,0,1,0,0
Sharecare,202104,,SharecareSDPPerformanceDisplay.NU1559Branded.1,333,304,302,468,27157,0.31431713
Sharecare,202104,,SDPPerformanceDisplay.NU1559Branded.1,89,87,86,116,6290,0.072800926
Sharecare,202104,,SDPMR.NU1559Branded.300,55,54,53,174,1026,0.011875
Sharecare,202104,,SDPMR.NU1623Unbranded50.300,47,46,45,54,1244,0.014398148
